Location,Count
Andorra,4
Argentina,1078
Aruba,3
Australia,144
Austria,327
Bahamas,2
Bahrain,1
Barbados,1
Belgium,793
Benin,3
Bermuda,1
Bolivia,264
Bosnia and Herzegovina,9
Brazil,10758
Bulgaria,6
Cameroon,18
Canada,1460
Central African Republic,22
Chile,1417
China,7
Colombia,4072
Congo,5
Costa Rica,140
Croatia,33
Cuba,8
Curaçao,3
Cyprus,5
Czechia,71
Democratic Republic of the Congo,370
Denmark,196
Dominican Republic,52
Ecuador,483
Egypt,3
El Salvador,88
Estonia,11
Finland,42
France,4128
Georgia,2
Germany,3692
Ghana,121
Gibraltar,6
Greece,86
Greenland,2
Guadeloupe,1
Guam,1
Guatemala,360
Guyana,2
Honduras,16
Hungary,80
Iceland,16
India,22
Indonesia,1
Iran,1
Ireland,228
Israel,262
Italy,955
Jamaica,18
Japan,18
Jordan,1
Latvia,6
Lebanon,26
Liberia,7
Lithuania,5
Luxembourg,57
Malta,33
Martinique,7
Mexico,3768
Monaco,3
Montenegro,2
Morocco,3
Mozambique,1
Netherlands,1260
New Caledonia,1
New Zealand,41
Nigeria,789
Norway,95
Panama,118
Paraguay,92
Peru,3727
Philippines,4
Poland,215
Portugal,951
Puerto Rico,210
Qatar,5
Republic of Korea,4
Republic of Moldova,2
Romania,47
Russian Federation,2
Saint Martin,1
San Marino,1
Saudi Arabia,8
Serbia,40
Singapore,21
Slovakia,14
Slovenia,47
South Africa,5
Spain,7533
Sri Lanka,2
Sudan,18
Sweden,260
Switzerland,551
Thailand,15
Türkiye,12
Ukraine,5
United Arab Emirates,16
United Kingdom of Great Britain and Northern Ireland,3735
United States,26049
Uruguay,19
Venezuela,12
Viet Nam,2
